Date,SPY C-to-C,BAC C-to-C,SPY O-to-C,BAC O-to-C
19/07/2002,-3.997801551,-1.927579003,-2.191173811,-0.1054688
22/07/2002,-3.104748722,-1.702064099,-2.948579844,-2.326223091
23/07/2002,-2.603641354,-4.160196096,-3.076366298,-4.599956668
24/07/2002,5.677236477,2.2637525,7.413564106,6.648015456
25/07/2002,-0.701207211,1.200860412,1.5256672,2.634293663
26/07/2002,1.752752192,3.137044443,1.371579842,2.333152367
29/07/2002,5.278469564,4.281028221,2.633143736,0.904578029
30/07/2002,0.492247948,-0.239044073,1.367573246,1.410692318
31/07/2002,0.756203253,3.535848667,0.703252855,2.403723702
01/08/2002,-3.054246502,-2.901076516,-2.403950482,-1.653782019
02/08/2002,-2.18447803,-1.404411728,-1.808520648,-0.398879093
05/08/2002,-3.50982582,-2.300710695,-2.921841873,-0.359572183
06/08/2002,3.256958922,2.901233264,0.636231366,0.745876986
07/08/2002,1.939295458,2.180454134,0.338120158,0.086397422
08/08/2002,3.194531768,4.848172737,2.32574627,2.689282519
09/08/2002,0.258407087,0.712577222,1.691339548,1.939521996
12/08/2002,-0.573367972,-0.672029033,1.094185193,1.58158333
13/08/2002,-2.201307538,-1.402182156,-1.24723163,-1.858985169
14/08/2002,4.033520978,2.462350634,3.880107129,2.973029923
15/08/2002,1.129011427,0.663687751,0.481806149,0.083424567
16/08/2002,-0.178802904,-0.942085362,0.828083851,0.09830672
19/08/2002,2.473186152,2.030538059,2.15593332,1.836939093
20/08/2002,-1.339391176,-1.365498426,-0.532121727,-0.406000232
21/08/2002,1.224938765,0.590787495,0.153325141,0.040268413
22/08/2002,1.4244473,1.372269347,1.41688734,1.113009874
23/08/2002,-2.342433647,-1.61905968,-1.709157379,-1.409968792
26/08/2002,0.78534502,2.567309904,0.574611441,0.887372166
27/08/2002,-1.332742993,0.520614262,-2.05739012,-0.316238203
28/08/2002,-1.866722604,-1.697097469,-0.851600304,-0.951241126
29/08/2002,0.079708955,0.441370861,1.621218877,2.426124612
30/08/2002,-0.230401579,-0.399069021,0.658482128,-0.24483513
03/09/2002,-4.317666709,-4.261849988,-2.534939863,-2.63164626
04/09/2002,1.751440531,0.4214616,1.178503268,0.188724498
05/09/2002,-1.423833561,-0.069514627,-0.028593355,1.448953479
06/09/2002,1.553190068,3.031633417,-0.199626793,1.436654739
09/09/2002,1.097972237,-0.246828744,1.873290562,1.127629616
10/09/2002,0.77699134,-0.757475897,0.097986882,-0.691263744
11/09/2002,-0.065044841,0.30474105,-0.942922461,-1.811100636
12/09/2002,-2.424376364,-1.899251379,-1.363779136,-1.34679824
13/09/2002,0.300126071,1.370024611,1.058025237,1.988957181
16/09/2002,0.24357724,1.092209159,0.170407131,1.35530782
17/09/2002,-2.009107712,-1.228039612,-3.028713881,-2.539958798
18/09/2002,-0.514038331,-2.367614147,0.936927034,1.109475196
19/09/2002,-2.97370014,-4.707069374,-0.67791697,-1.202948842
20/09/2002,-0.297400991,-0.227793005,-0.036165074,-0.195859205
23/09/2002,-1.250845935,1.096544076,0.058757269,3.154406094
24/09/2002,-1.72599523,-2.546897792,-0.851656581,-2.989904971
25/09/2002,2.370647379,2.315202868,1.340842784,1.145252032
26/09/2002,2.071907674,3.579524905,0.650509006,1.916092173
27/09/2002,-3.533676707,-2.729458679,-1.946477633,-2.503221301
30/09/2002,-1.53371558,-0.349858215,0.781614134,1.863358353
01/10/2002,4.120388648,3.552996737,3.074944078,2.963423978
02/10/2002,-2.346714398,-2.814320367,-2.390783445,-1.296608329
03/10/2002,-1.208756175,-6.959340701,-0.592590569,-5.234788125
04/10/2002,-2.035261925,-3.428428465,-2.382912511,-3.349886754
